Data,Otwarcie
2021-02-10,1947.63
2021-02-11,1922.62
2021-02-12,1951.43
2021-02-15,1946.97
2021-02-16,1977.89
2021-02-17,2005.98
2021-02-18,1990.16
2021-02-19,1985.99
2021-02-22,1978.7
2021-02-23,1969.01
2021-02-24,1926.18
2021-02-25,1955.61
2021-02-26,1912.25
2021-03-01,1925.94
2021-03-02,1947.45
2021-03-03,1963.17
2021-03-04,1935.36
2021-03-05,1940.32
2021-03-08,1950.85
2021-03-09,1966.81
2021-03-10,1997.63
2021-03-11,2012.36
2021-03-12,1993.99
2021-03-15,2012.38
2021-03-16,2005.15
2021-03-17,1976.47
2021-03-18,1941.91
2021-03-19,1950.51
2021-03-22,1921.5
2021-03-23,1933.56
2021-03-24,1910.28
2021-03-25,1901.84
2021-03-26,1891.11
2021-03-29,1922.29
2021-03-30,1963.34
2021-03-31,1949
2021-04-01,1942.53
2021-04-06,1965.18
2021-04-07,2012.08
2021-04-08,2004.55
2021-04-09,1981.23
2021-04-12,1975.05
2021-04-13,1983.4
2021-04-14,1986.19
2021-04-15,2015.11
2021-04-16,2019.5
2021-04-19,2016.04
2021-04-20,2001.93
2021-04-21,1987.94
2021-04-22,1986.54
2021-04-23,1990.18
2021-04-26,1994.54
2021-04-27,2006.17
2021-04-28,2000.4
2021-04-29,2043.59
2021-04-30,2061
2021-05-04,2046.24
2021-05-05,2015.97
2021-05-06,2053.2
2021-05-07,2061.36
2021-05-10,2115.79
2021-05-11,2108.43
2021-05-12,2112.89
2021-05-13,2083.41
2021-05-14,2096.96
2021-05-17,2102.62
2021-05-18,2142.32
2021-05-19,2123.9
2021-05-20,2121.01
2021-05-21,2130.95
2021-05-24,2138.36
2021-05-25,2144
2021-05-26,2156.44
2021-05-27,2167.52
2021-05-28,2210.53
2021-05-31,2237.25
2021-06-01,2234.87
2021-06-02,2234.69
2021-06-04,2252.84
2021-06-07,2254.62
2021-06-08,2241.03
2021-06-09,2239.73
2021-06-10,2217.7
2021-06-11,2238.75
2021-06-14,2229.99
2021-06-15,2262.55
2021-06-16,2232.65
2021-06-17,2215.45
2021-06-18,2208.65
2021-06-21,2210.86
2021-06-22,2226.22
2021-06-23,2222.93
2021-06-24,2237.56
2021-06-25,2271.93
2021-06-28,2280.67
2021-06-29,2281.71
2021-06-30,2257.62
2021-07-01,2223.84
2021-07-02,2258.56
2021-07-05,2255.07
2021-07-06,2262.83
2021-07-07,2234.52
2021-07-08,2280.62
2021-07-09,2241.61
2021-07-12,2253.56
2021-07-13,2259
2021-07-14,2266.88
2021-07-15,2268.01
2021-07-16,2260.8
2021-07-19,2254.48
2021-07-20,2210.63
2021-07-21,2215.48
2021-07-22,2247.69
2021-07-23,2234.32
2021-07-26,2249.57
2021-07-27,2241.05
2021-07-28,2223.2
2021-07-29,2257.08
2021-07-30,2254.07
2021-08-02,2261.61
2021-08-03,2261.94
2021-08-04,2262.05
2021-08-05,2270.83
2021-08-06,2272
2021-08-09,2271.56
2021-08-10,2275.63
2021-08-11,2272.93
2021-08-12,2281.08
2021-08-13,2298.99
2021-08-16,2289.95
2021-08-17,2282.7
2021-08-18,2300.19
2021-08-19,2270.18
2021-08-20,2263.51
2021-08-23,2264.45
2021-08-24,2293.79
2021-08-25,2297.64
2021-08-26,2321.75
2021-08-27,2310.63
2021-08-30,2324.67
2021-08-31,2347.73
2021-09-01,2367.66
2021-09-02,2375.04
2021-09-03,2392.26
2021-09-06,2379.29
2021-09-07,2409.03
2021-09-08,2390.92
2021-09-09,2356.6
2021-09-10,2357.98
2021-09-13,2365.69
2021-09-14,2367.42
2021-09-15,2365.73
2021-09-16,2351.2
2021-09-17,2356.48
2021-09-20,2316.96
2021-09-21,2271.99
2021-09-22,2295.39
2021-09-23,2345.99
2021-09-24,2323.41
2021-09-27,2308.17
2021-09-28,2289.15
2021-09-29,2277.48
2021-09-30,2299.33
2021-10-01,2299.01
2021-10-04,2325.08
2021-10-05,2338.92
2021-10-06,2365.2
2021-10-07,2353.18
2021-10-08,2360.56
2021-10-11,2413.12
2021-10-12,2449.09
2021-10-13,2471.12
2021-10-14,2455.6
2021-10-15,2459.71
2021-10-18,2458.45
2021-10-19,2461.73
2021-10-20,2447.07
2021-10-21,2433.75
2021-10-22,2425.02
2021-10-25,2415.52
2021-10-26,2429.41
2021-10-27,2423.22
2021-10-28,2405.47
2021-10-29,2390.05
2021-11-02,2411.73
2021-11-03,2411.54
2021-11-04,2386.85
2021-11-05,2439.09
2021-11-08,2444.16
2021-11-09,2420.42
2021-11-10,2393.48
2021-11-12,2372.28
2021-11-15,2358.49
2021-11-16,2336.33
2021-11-17,2346.41
2021-11-18,2316.9
2021-11-19,2271.91
2021-11-22,2251.08
2021-11-23,2245.04
2021-11-24,2268.15
2021-11-25,2244.79
2021-11-26,2193.9
2021-11-29,2148.59
2021-11-30,2133.69
2021-12-01,2205.85
2021-12-02,2208.07
2021-12-03,2209.95
2021-12-06,2184.6
2021-12-07,2201.86
2021-12-08,2234.64
2021-12-09,2214.59
2021-12-10,2212.19
2021-12-13,2216.22
2021-12-14,2217.45
2021-12-15,2211.49
2021-12-16,2177.87
2021-12-17,2206.89
2021-12-20,2168.37
2021-12-21,2193.98
2021-12-22,2190.04
2021-12-23,2215.19
2021-12-27,2226.82
2021-12-28,2222.54
2021-12-29,2245.28
2021-12-30,2263.39
2022-01-03,2272.18
2022-01-04,2293.18
2022-01-05,2296.7
2022-01-07,2309.61
2022-01-10,2311.34
2022-01-11,2300.38
2022-01-12,2350.99
2022-01-13,2406.83
2022-01-14,2402.92
