Data,Otwarcie
2021-03-29,129.292
2021-03-30,128.532
2021-03-31,133.288
2021-04-01,137.925
2021-04-05,139.682
2021-04-06,138.425
2021-04-07,141.242
2021-04-08,142.961
2021-04-09,143.79
2021-04-12,151.864
2021-04-13,156.55
2021-04-14,152.534
2021-04-15,161.127
2021-04-16,158.878
2021-04-19,153.383
2021-04-20,151.484
2021-04-21,153.363
2021-04-22,148.277
2021-04-23,152.424
2021-04-26,154.541
2021-04-27,153.583
2021-04-28,152.534
2021-04-29,153.014
2021-04-30,149.875
2021-05-03,148.147
2021-05-04,143.3
2021-05-05,144.369
2021-05-06,145.019
2021-05-07,147.897
2021-05-10,142.452
2021-05-11,142.851
2021-05-12,137.385
2021-05-13,136.455
2021-05-14,142.222
2021-05-17,141.462
2021-05-18,139.962
2021-05-19,140.462
2021-05-20,145.909
2021-05-21,149.696
2021-05-24,155.881
2021-05-25,156.241
2021-05-26,156.76
2021-05-27,154.641
2021-05-28,162.197
2021-06-01,162.406
2021-06-02,167.532
2021-06-03,169.451
2021-06-04,175.526
2021-06-07,175.936
2021-06-08,174.316
2021-06-09,173.367
2021-06-10,174.036
2021-06-11,178.033
2021-06-14,179.973
2021-06-15,177.664
2021-06-16,177.883
2021-06-17,186.348
2021-06-18,186.168
2021-06-21,184.049
2021-06-22,188.646
2021-06-23,190.344
2021-06-24,191.833
2021-06-25,190.085
2021-06-28,199.608
2021-06-29,200.028
2021-06-30,199.778
2021-07-01,201.875
2021-07-02,204.614
2021-07-06,206.712
2021-07-07,203.475
2021-07-08,198.788
2021-07-09,200.257
2021-07-12,204.864
2021-07-13,202.255
2021-07-14,198.188
2021-07-15,189.436
2021-07-16,181.392
2021-07-19,187.576
2021-07-20,185.898
2021-07-21,193.871
2021-07-22,195.711
2021-07-23,195.351
2021-07-26,192.713
2021-07-27,191.853
2021-07-28,194.801
2021-07-29,196.39
2021-07-30,194.761
2021-08-02,197.269
2021-08-03,197.918
2021-08-04,202.495
2021-08-05,206.102
2021-08-06,203.415
2021-08-09,202.705
2021-08-10,199.118
2021-08-11,196.76
2021-08-12,198.808
2021-08-13,201.635
2021-08-16,199.258
2021-08-17,194.351
2021-08-18,190.174
2021-08-19,197.748
2021-08-20,207.891
2021-08-23,219.303
2021-08-24,217.653
2021-08-25,221.85
2021-08-26,220.401
2021-08-27,226.077
2021-08-30,226.597
2021-08-31,223.61
2021-09-01,224.169
2021-09-02,223.72
2021-09-03,228.186
2021-09-07,226.377
2021-09-08,223.15
2021-09-09,221.53
2021-09-10,224.539
2021-09-13,221.28
2021-09-14,222.18
2021-09-15,223.17
2021-09-16,222.18
2021-09-17,218.763
2021-09-20,210.898
2021-09-21,212.228
2021-09-22,219.173
2021-09-23,224.578
2021-09-24,220.571
2021-09-27,216.365
2021-09-28,206.762
2021-09-29,204.954
2021-09-30,206.931
2021-10-01,207.191
2021-10-04,197.119
2021-10-05,204.294
2021-10-06,206.772
2021-10-07,210.518
2021-10-08,208.081
2021-10-11,206.722
2021-10-12,206.482
2021-10-13,209.16
2021-10-14,217.223
2021-10-15,218.383
2021-10-18,221.98
2021-10-19,222.66
2021-10-20,220.791
2021-10-21,226.677
2021-10-22,227.017
2021-10-25,231.413
2021-10-26,246.912
2021-10-27,244.253
2021-10-28,249.149
2021-10-29,255.405
2021-11-01,258.002
2021-11-02,263.739
2021-11-03,265.697
2021-11-04,297.693
2021-11-05,297.203
2021-11-08,307.715
2021-11-09,306.246
2021-11-10,294.276
2021-11-11,303.578
2021-11-12,303.578
2021-11-15,299.931
2021-11-16,301.709
2021-11-17,292.296
2021-11-18,316.418
2021-11-19,329.498
2021-11-22,319.225
2021-11-23,317.128
2021-11-24,326.39
2021-11-26,314.698
2021-11-29,333.405
2021-11-30,326.41
2021-12-01,314.061
2021-12-02,320.965
2021-12-03,306.646
2021-12-06,300.091
2021-12-07,323.962
2021-12-08,317.967
2021-12-09,304.617
2021-12-10,301.699
2021-12-13,281.344
2021-12-14,283.104
2021-12-15,304.308
2021-12-16,283.603
2021-12-17,277.747
2021-12-20,276.928
2021-12-21,290.479
2021-12-22,293.726
2021-12-23,296.123
2021-12-27,309.164
2021-12-28,302.938
2021-12-29,299.731
2021-12-30,295.583
2021-12-31,293.836
2022-01-03,300.93
2022-01-04,292.626
2022-01-05,275.779
2022-01-06,281.514
2022-01-07,272.211
2022-01-10,273.741
2022-01-11,277.907
2022-01-12,279.726
2022-01-13,265.497
2022-01-14,269.164
2022-01-18,258.792
2022-01-19,250.439
2022-01-20,241.275
2022-01-21,233.522
2022-01-24,233.502
2022-01-25,223.03
2022-01-26,227.506
2022-01-27,219.233
2022-01-28,228.186
2022-01-31,244.632
2022-02-01,246.152
2022-02-02,252.187
2022-02-03,239.257
2022-02-04,242.965
2022-02-07,247.052
2022-02-08,250.848
2022-02-09,266.797
2022-02-10,258.002
2022-02-11,239.267
2022-02-14,242.445
2022-02-15,264.697
2022-02-16,264.857
2022-02-17,244.842
2022-02-18,236.2
2022-02-22,233.682
2022-02-23,223.66
2022-02-24,237.258
2022-02-25,241.345
2022-02-28,243.624
2022-03-01,234.55
2022-03-02,242.015
2022-03-03,236.959
2022-03-04,229.185
2022-03-07,213.357
2022-03-08,214.976
2022-03-09,229.964
2022-03-10,226.407
2022-03-11,220.831
2022-03-14,213.137
2022-03-15,229.554
2022-03-16,244.772
2022-03-17,247.471
2022-03-18,264.327
2022-03-21,267.136
2022-03-22,265.037
2022-03-23,256.144
2022-03-24,281.285
2022-03-25,276.708
2022-03-28,281.974
2022-03-29,286.341
2022-03-30,276.688
2022-03-31,272.651
2022-04-01,266.917
2022-04-04,273.391
2022-04-05,259.112
2022-04-06,243.884
2022-04-07,241.895
2022-04-08,231.013
2022-04-11,219.003
2022-04-12,214.876
2022-04-13,221.86
2022-04-14,212.418
2022-04-18,217.663
2022-04-19,221.81
2022-04-20,214.656
2022-04-21,201.675
2022-04-22,195.001
2022-04-25,198.868
2022-04-26,187.736
2022-04-27,184.009
2022-04-28,197.668
2022-04-29,185.329
2022-05-02,195.181
2022-05-03,195.871
2022-05-04,203.185
2022-05-05,188.296
2022-05-06,186.608
2022-05-09,169.371
2022-05-10,175.816
2022-05-11,166.173
2022-05-12,161.627
2022-05-13,176.925
2022-05-16,172.509
2022-05-17,181.632
2022-05-18,169.251
2022-05-19,171.109
2022-05-20,166.812
2022-05-23,168.851
2022-05-24,161.417
2022-05-25,169.621
2022-05-26,178.373
2022-05-27,187.966
2022-05-31,186.578
2022-06-01,183.06
2022-06-02,195.771
2022-06-03,187.056
2022-06-06,187.716
2022-06-07,189.116
2022-06-08,186.377
2022-06-09,180.38
2022-06-10,169.647
2022-06-13,156.384
2022-06-14,158.273
2022-06-15,165.179
2022-06-16,155.924
2022-06-17,158.712
2022-06-21,165.569
2022-06-22,163.509
2022-06-23,162.161
2022-06-24,171.165
2022-06-27,168.597
2022-06-28,159.732
2022-06-29,155.334
2022-06-30,151.506
2022-07-01,145.15
2022-07-05,149.558
2022-07-06,151.216
2022-07-07,158.492
2022-07-08,158.293
2022-07-11,151.436
2022-07-12,150.736
2022-07-13,151.556
2022-07-14,153.635
2022-07-15,157.533
2022-07-18,160.921
2022-07-19,169.827
2022-07-20,177.971
2022-07-21,180.4
2022-07-22,173.095
2022-07-25,170.145
2022-07-26,165.239
2022-07-27,177.802
2022-07-28,179.741
2022-07-29,181.53
2022-08-01,184.308
2022-08-02,185.158
2022-08-03,188.826
2022-08-04,192.044
2022-08-05,189.785
2022-08-08,177.832
2022-08-09,170.765
2022-08-10,180.87
